OBJECTID,FOLIOID,BLDGNO,LASTMODIFIED,WHOMODIFIED,BuildingKey,BuildingNo,ImpCode,ImpCodeDesc,model,ModelDesc,LocationNo,LocationStreet,ApprDate,Appraiser,stories,bedrooms,bathrooms,ExtWall1,ExtWall2,RoofStruct,RoofCover,IntWall1,IntWall2,Floor1,Floor2,HeatType,HeatFuel,ACType,PctCond,Quality,BaseArea,ActualArea,EffectiveArea,ActualYearBuilt,EffectiveYearBuilt,FunctionalObs,EconomicObs,SpecialCondCode,SOH,StructuralIndex,DepreciationFactor,BaseRate,AdjBaseRate,NbhdRate,ReplacementCost,DepreciatedValue,OverrideValue,notes,createdDate,createdUser,ApprNum,ApprName,BathIndex,NbhdFactor,BuilderModel,DRApprDate,DRAppraiser,DRPhotoDate,SHAPE_Length,SHAPE_Area
23,10161891,1,4/23/2013 10:39,kingc,80922,1,35,Stores - Retail,4,commercial,2526,SECOND ST,1/9/2014 0:00,82,1,2,0,7,0,4,3,5,0,9,0,4,4,3,0,2,0,1599,1427,1940,1974,0,0,  ,N,0.8,0.6,100.6500015,80.52,80.52,114902,68941,0,*GREENLEAF DAY SPA* 2002-98 UPDATE PM APT SHED MT CHLK 4 DEL GAR F + DECK *2005 REVIEW PM N/C* 09 UPDATE AS VACANT BLDG AT THIS TIME ADD STP APT. IS ALSO VACANT* *09 BPMT AS ADD FNC AL4+FNC AL6 AV/BAV APT IS STILL VACANT AT THIS TIME*2010'VAB PM- EXT WOOD/ABES--FL VINYL/WOOD-HT 10/8*2013'SALE N/C-BLDG VACANT,4/2/2018 14:12,GillilandR,82,Pete Mayher,0,1,0,,0 Unknown or uninspected,,243.9832721,1598.999985
24,10161902,1,11/9/2015 8:28,hoskissonb,80927,1,43,Convenience Store,4,commercial,1760,PARK AV,6/14/2011 13:08,82,1,0,0,16,0,1,2,5,0,5,0,3,4,2,0,2,0,946,727,1925,1975,0,0,  ,N,0.99,0.6,98.1200027,97.14,97.14,70621,42373,0,RCS92CG29480 98 REVIEW KM RETRAV BLDG DECREASE BAS + UST ADD UOP + FOP**DEC BAS  INC UST AND UOP 12-8-98 CJK**  99 REVIEW BB INC UST+UOP DEC BAS DOR 12/14 PLAS/DRYW WAC BA 2/1 2002-98 UPDATE PM N/C  *08 UPDATE AS N/C*2011'SALE-ALL BLDG VACANT-NO INTERIOR ACCESS OR INFO--WE CURRENTLY HAVE NO IMPROVEMENT CODES TO ACCURATELY DESCRIBE CARDS #2 & #3--BOARDING HOUSE WOULD BE A PROPER DESCRIPTION DESKTP RVW 11/9/2015 HABERMEHLS,4/2/2018 14:12,GillilandR,82,Pete Mayher,0,1,0,11/9/2015,105 Susanne Habermehl,1/8/2015,134.0001511,946.0027901
25,10161903,1,3/13/2017 13:54,habermehls,80930,1,82,Warehouse - Metal/Frame,6,Warehouse/Industrial,2585,FOURTH ST,2/27/2012 13:00,82,1,0,2,25,0,10,12,7,0,3,0,1,1,1,0,3,0,7779,6709,1980,1980,0,0,  ,N,1.5599999,0.6,33.8600006,52.82,26.41,177185,106311,0,*TREKRAM ROOFING*  99 REVIEW BB DOR 25/48 2003 SALE REVIEW PM N/C (LOCKED & VACANT) *08 UPDATE AS N/C*2011'SALE-BLDG VACANT--N/C-NO ACCESS--PROBALY MISSING OFFICE AREA DUE TO A/C UNIT IN BACK OF BUILDING*2011'SALE N/C-VACANT*2014'SALE N/C-BLDG LEASED DESKTP RVW 3/13/2017 HABERMEHLS,3/13/2017 13:54,HabermehlS,82,Pete Mayher,3,0.5,0,3/13/2017,105 Susanne Habermehl,1/13/2016,463.9995684,7778.997817
26,10161906,1,3/19/2018 12:27,habermehls,80932,1,90,School,9,Educational/Recreational,,1714 EVANS AVE,7/8/2008 10:46,102,1,0,0,17,0,4,3,4,5,8,14,4,4,3,0,3,0,3818,3644,1981,1982,0,0,  ,N,1.11,0.6,187.4499969,208.07,208.07,758207,454924,0,BPMT-2684 4195 PA CHANGED TYPE/MODEL + SE FOR 86 RCG86JS 5248 BPMT11574CHLK6**ADDED UOP  FOP/UOP  INC UOP 4-5-99 CJK**  99 REVIEW KM RETRAV BLDG DOR 75/17 LAND 8700/1700 *04-99 UPDT PM IMP 49/90 LAND 1700/8300  *08 UPDATE AS N/C* DESKTP RVW 5/17/2013 MAYHERP DESKTP RVW 3/19/2018 HABERMEHLS,3/19/2018 12:28,HabermehlS,102,Albert Serio,0,1,0,3/19/2018,105 Susanne Habermehl,1/5/2018,283.9999588,3818.0014
27,10161906,2,3/19/2018 12:28,habermehls,80933,2,90,School,9,Educational/Recreational,,,7/8/2008 10:47,102,1,0,0,17,0,4,3,5,0,14,0,4,4,3,0,3,0,3416,3122,1984,1985,0,0,  ,N,1.17,0.6,187.4499969,219.32,219.32,684717,410830,0,BP-7249 VALUE 34000 CLASSROOM CODED 49-04 FOR RATE-90/04 NOT PROPER SCHOOL CLASSROOM**INC BAS  ADDED UOP 4-5-99 CJK** 99 REVIEW KM RETRAV BLDG INC BAS ADD UOP DEL CANOPY+PVMT C *04-99 UPDT PM IMP 49/90 *08 UPDATE AS N/C* DESKTP RVW 5/17/2013 MAYHERP,3/19/2018 12:28,HabermehlS,102,Albert Serio,0,1,0,3/19/2018,105 Susanne Habermehl,1/5/2018,272.0000003,3416.000006
28,10161912,1,9/26/2016 16:29,hoskissonb,80935,1,22,Multiple Residence,3,Multiples/Motels,2554,FIRST ST,9/26/2016 11:36,88,2,20,16,17,0,4,3,3,0,14,0,3,4,2,0,2,0,11184,10684,1946,1981,0,0,  ,N,0.79,0.63,79.6100006,62.89,62.89,671917,423308,0,*ARVELEE APARTMENTS*  12-1BR/1BA +  4-2BRM/1B = APTS 16 TOTAL UNITS *2016'VAB FLORENTINE DEVEL,2/8/2019 11:02,HabermehlS,88,John Heaphy,0,1,0,,0 Unknown or uninspected,,607.2351943,5827.393248
29,10161917,1,4/23/2013 10:58,kingc,80938,1,22,Multiple Residence,3,Multiples/Motels,2575,SECOND ST,9/29/2014 9:54,82,2,16,8,17,0,4,12,5,0,11,0,4,4,3,0,3,0,6824,6212,1986,1986,0,0,  ,N,1.13,0.68,79.6100006,89.96,89.96,558832,380006,0,*2011' SALE/YR END RV-REMODEL HAS RESUMED WITH NEW OWNER---AS 1/1/2011' BLDGS NOT INHABITABLE*2011'RV ALL REPAIRS COMPLETED-LEASING OFFICE OPEN-NEW PARKING IN PLACE-DELETE AP-ALL CHANGES WILL BE KEYED AFTER 2011' ROLL*2011'RV-EX FEATURES W.O.A.--APPEARS 100% OCCP*2012'VAB CW 5/6-HIGH OCCP,1/1/2019 20:03,GillilandR,82,Pete Mayher,0,1,0,,0 Unknown or uninspected,,270.0000298,3370.002172
30,10161917,2,4/23/2013 10:59,kingc,80939,2,22,Multiple Residence,3,Multiples/Motels,2575,SECOND ST,9/29/2014 9:54,82,2,16,8,17,0,4,12,5,0,11,0,4,4,3,0,2,0,6824,6212,1987,1987,0,0,  ,N,0.94,0.69,79.6100006,74.83,74.83,464844,320742,0,*VACANT BLDG*  (8-2BR/1BA APTS THIS BLDG)  BP12740&10410**  98 REVIEW PB TRAVERSE BLDG SPLIT FUS OUT OF BAS DEC FOP FENCE A  PTO/PATIO-C   99 REVIEW BB BR 2/16 BA 1/8 RMS 8/40 2003 SALE REVIEW PM N/C *04 SALE PM RMS 40/8 *06 REVIEW PM N/C* *2007 REVIEW FJ CORR.SUBAREAS & STR.ELEMENTS. APTS ARE VACANT AND APPEAR TO BE FINISHED (SEE PICTURES) REVISIT JAN. 2008* *08 BPMT AS LOCKED & VACANT* *09 UPDATE AS VACANT BLDG NO ACCESS**,1/1/2019 20:03,GillilandR,82,Pete Mayher,0,1,0,,0 Unknown or uninspected,,269.9999331,3370.002064
31,10161943,1,7/23/2015 9:06,hoskissonb,80963,1,91,Church,8,Church/Theater/Auditorium,,2663 SECOND ST,12/10/2009 10:03,102,1,0,0,17,21,3,3,5,0,8,0,4,4,3,0,2,0,6314,6093,1960,1975,0,0,  ,N,0.63,0.6,135.8800049,85.6,64.2,391171,234703,0,PENIEL SEVENTH DAY ADVENTIST CHURCH  2000 REVIEW HH RETRAV BLDG CHLK 6 WDSH/ASPH ADD STONE DEL CAN FOP 2003-99 UPDATE KN BAV/AV  *08 UPDATE AS N/C* *09 BPMT AS UPDATE PARCEL AV/BAV* DESKTP RVW 8/20/2014 HABERMEHLS,1/1/2017 14:54,GillilandR,102,Albert Serio,0,0.75,0,8/20/2014,105 Susanne Habermehl,2/14/2014,527.4588954,6313.892869
32,10161994,1,7/23/2015 9:09,hoskissonb,81001,1,49,Offices - Low Rise,5,OFFICE/MEDICAL,2607,DR ELLA PIPER WAY,5/18/2009 12:08,102,1,0,0,17,0,4,3,5,0,14,0,4,4,3,0,3,0,4976,4829,1976,1980,0,0,  ,N,0.96,0.6,109.3499985,104.98,68.24,329531,197719,0,FOP/UOP 4-1-99 CJK**  DR ELLA PIER CNTR + SENIOR FRIENDSHIP CENTER  99 REVIEW KM G&H/WOOD TRUSS WALL HT 12/8 BLKTOP 2003-99 UPDATE KN BA 11/8 RMS 13/11 DEC BLK TOP ADD BLK PVM *2005 BPMT PM ADD UOP* *09 UPDATE AS N/C* DESKTP RVW 7/1/2014 HABERMEHLS,8/6/2018 10:22,HabermehlS,102,Albert Serio,0,0.65,0,7/1/2014,105 Susanne Habermehl,2/14/2014,429.9999364,4975.992714
33,10162020,1,3/19/2018 12:58,habermehls,81022,1,35,Stores - Retail,4,commercial,1804,PALM AV,7/8/2008 0:00,102,1,0,0,15,0,4,3,5,0,7,0,4,4,3,0,2,0,1818,1401,1962,1979,0,0,  ,N,0.95,0.6,100.6500015,95.62,52.59,73679,44207,0,ROLLS GROCERY CHANGE USE & DOR  2000-97 UPDATE BB N/C 04 SAKE KN FST CAN**CAN/FOP 2005**AV *08 UPDATE AS N/C* DESKTP RVW 6/21/2013 MAYHERP*2014'RV IMP 43/35- AV/BAV-EFF YR-SF 2/3-ADD BLK-BLDG 4 SALE DESKTP RVW 3/19/2018 HABERMEHLS,4/2/2018 14:12,GillilandR,102,Albert Serio,0,0.55,0,3/19/2018,105 Susanne Habermehl,1/5/2018,226.0000637,1818.002181
34,10162077,1,6/12/2017 10:42,habermehls,81058,1,75,ALF,3,Multiples/Motels,2666,LIME ST,8/31/2012 10:39,88,2,5,4,17,0,8,3,5,0,14,0,4,4,3,0,2,0,7354,7192,1978,1988,0,0,  ,N,0.76,0.6,106.4499969,80.9,80.9,581833,349100,0,88RVW JP AP=COND ECON=OVERBLT APT/FUS BR4/8*91JP E 3L AP*93SVY DEL CA HH*95B PMT HH CHLK CA DEL ECON*ADD BAS (Y98) ADD FST ADD FOP (2)*  99BPMT BB ADD BAS FST FOP(2)** *02UPDATE CLT INC CH LK 5* *03 RVW RA ADD SLAB* DESKTP RVW 9/22/2008 DONAHUEB*2012' RV-MOVE TO COM NBHD DESKTP RVW 6/12/2017 HABERMEHLS,1/1/2019 20:03,GillilandR,88,John Heaphy,0,1,0,6/12/2017,105 Susanne Habermehl,1/31/2017,460.8747884,5613.003072
